ID,Title of Artwork,Year,Street Address,Address Data,Primary Artist,Type,Current Status,Property Ownership,Agency or Insitution,Stewardship Responsibility,Program ,Artist Assistants ,Architect,Creation/Dedication Date,Arts District,City,State,Zipcode,Location Name,Location Description,Related Property,Indoor/Outdoor Accessible,Medium,Description of Artwork,General Images,Subject (Person),Comments and Notes,Dimensions,Primary Artist Gender,Fabricator,Maintenance/Conservation Notes,Save Outdoor Sculpture file on record,Funding Source,Wikipedia URL,Year Accuracy,osm_id,Council District,Neighborhood,Community Statistical Area (CSA),4 digit UID,Survey,Activity,Activity Notes,Ownership Accuracy,Latitude,Longitude,Modified
,"Joy, Happiness, Fun",2019,5501 Ivanhoe Road,,Iandry Randriamandroso,Mural,in place,,,,,,,,,Baltimore,MD,21212,Walter J. Dewees Recreation Center,Ourdoor - painted mural - Govans - Walter J. Dewees Recreation Center,Walter J. Dewees recreation Center,Outdoor,painted mural,Painted mural outdoor in Govans at Walter J. Dewees Recreation Center,,,"Assts: Amelia Henry, Savannah Jackson, Joanna Hollins, Makayla McClinton, Sire Rodgers, Hope Sacco, Olivia Thomas, Traenard Thompson, Dan Zembower",,Male,,,,,,,,District 4,Mid-Govans,Chinquapin Park/Belvedere,,,,,,39.35632628588041,-76.60408220842831,12/8/2022 12:00pm
,Legacy,2019,2304 Greenmount Avenue,,"""Ernest Shaw, Jr.""",Mural,in place,,,,,"Gaia,Pablo Machioli,Multisse",,,,Baltimore,MD,21218,Greenmount Recreation Center,Greenmount - East Baltimore - Barclay Community,Greenmount Recreation Center,Outdoor,painted mural,Painted outdoor mural at Greenmount Recreation Center,,,,,Male,,,,,,,,District 12,Barclay,Greater Charles Village/Barclay,,,,,,39.31603238684143,-76.60968458414584,12/8/2022 12:00pm
,Light Swinging,2019,,,Shawn James,Mural,in place,Private Property,,,,,,,,Baltimore,MD,,,Near Digital Harbor High School,,Outdoor,"painted mural,Nova Color acrylic paint",,,,,30'h x 15'w,Male,,,,,,,,,,,,,,,,,,12/27/2022 9:26pm
,Mount Clare Entrance Park,2019,S. Gilmor Street and W. Pratt Street,Intersection,Nether,"Mural,Landscape",in place,Private Property,,,,Arts + Parks,,,,Baltimore,MD,,,,,Outdoor,painted mural,,,,,,Male,,,,"Southwest Partnership,Chesapeake Bay Trust",,,,District 9,New Southwest/Mount Clare,Southwest Baltimore,,,,,,39.28525900416732,-76.64202672534687,12/8/2022 12:00pm
,"One Baltimore, Many Shades",2019,5315 York Road,,S. Rasheem,Mural,in place,,,,Art@Work,"""Jerome Staten, Jr.""",,,,Baltimore,MD,21212,,Govans - York Road - Outdoor painted mural,,Outdoor,painted mural,Outdoor painted mural on Woodbourne Avenue side of building,,,"Assts: Elizabeth Dorsey, Anya Dorsey, Perryion Harris, Donte McKoy, William Morton, Makayla Nichols, Briasia Pratt, Deonna Way, Jason Smith Jr",,,,,,Art@Work Program (BOPA),,,,District 4,Woodbourne-McCabe,Greater Govans,,,,,,39.35523309122097,-76.60815146826522,12/27/2022 9:02pm
,One Preakness,2019,5000 Park Heights Avenue,,Iandry Randriamandroso,Mural,in place,Private Property,,,,,,,,Baltimore,MD,21215,,Park Heights - South facing wall of Harbor Bank,Harbor Bank,Outdoor,painted mural,Painted outdoor mural in Park Heights - Preakness theme ,,,Assissted by Herb Massie and community artists,,Male,,,,Baltimore Mural Program (BOPA),,,,District 6,Central Park Heights,Pimlico/Arlington/Hilltop,,,,,,39.34744805427229,-76.67383370564482,12/8/2022 12:00pm
,Pimlico Golden Garden,2019,3100 Spaulding Avenue,,Nether,"Mural,Landscape",in place,Private Property,,,,Arts + Parks,,,,Baltimore,MD,,,,,Outdoor,painted mural,,,,,,Male,,,,Healthy Neighborhoods,,,,District 6,Central Park Heights,Pimlico/Arlington/Hilltop,,,,,,39.34875,-76.67403,12/8/2022 12:00pm
,Racheal Wilson Memorial Project,2019,123 S. Calverton Street,,Nether,Mural,in place,Private Property,,,,Arts + Parks,,,,Baltimore,MD,21223,,"Outdoor, painted mural in Boyd-Booth community in 21223",,Outdoor,painted mural,Painted outdoor mural,,,Memorial for Rachael Wilson; Point location is approximate,,Male,,,,,,,,District 9,Boyd-Booth,Southwest Baltimore,,,,,,39.28567901140082,-76.65032936750872,12/8/2022 12:00pm
,Straight Outta Baybrook,2019,4501 Farring Court,,"""Ernest Shaw, Jr.""",Mural,in place,Mayor & City Council,,,,,,,,Baltimore,MD,21225,,Farring-Baybrook Recreation Center,Farring-Baybrook Recreation Center,Outdoor,painted mural,Painted mural - outdoor - at Farring-Baybrook Recreation Center,,,"Assts: Desiree Thaniel, Markel Cox, David Brown, Jr, Teala Humphries, Jaylyn Pendleton, Kiyae Woods, Darien Triplett, Jaylen Wilder",,Male,,,,,,,,District 10,Brooklyn,,,,,,,39.22507064750884,-76.59762092018772,12/8/2022 12:00pm
,Welcome to Charles Village,2019,3117 Saint Paul Street,,C. Ryan Patterson,Mural,in place,Private Property,,,,Rachel Valsing,,,,Baltimore,MD,21218,,"Courtyard between two commercial buildings with murals on both building sidewalls (larger on north side, smaller on south)",,Outdoor,painted mural,,,,,,Male,,,,,,,,District 14,Charles Village,Greater Charles Village/Barclay,,,,,,39.32639533622531,-76.61566655680761,12/8/2022 12:00pm
,"""Birds of A Feather""",2018,2304 Greenmount Avenue,,Andy Dahl,Mural,in place,Mayor & City Council,Baltimore City Department of Recreation & Parks,Baltimore City Department of Recreation & Parks,,,,,,Baltimore,MD,,Greenmount Recreation Center,Front facade,Greenmount Recreation Center,Outdoor,"painted mural,MDO plywood",,,,,,Male,,,,,,,,,,,,,,,,39.315971773695516,-76.60962945725136,12/27/2022 8:47pm
,"""Govans Welcomes You""",2018,4201 York Road,,,Sculpture,in place,,,,,,,,,Baltimore,MD,,Restoration Gardens 2,Located at southwest corner of property facing south,Restoration Gardens 2,Outdoor,painted metal,"A group of small metal painted birdhouse forms around three separate signs reading ""Govans Welcomes You""",tim-scofield_govans-welcomes-you.jpg (https://v5.airtableusercontent.com/v1/13/13/1672228800000/wWA790D89stRNeRxNRm9oQ/aRuSFje91_i-vPSjB2IdKLNnwZassYFTZB7uicifIcl7qIp9wWiuNbTFFHbr6FjlKMMGFv79WebLiLL2y2SZltUviJ6R9ru3WId7za7af1VKWxWknG7xuJXNo8BJ5EIj/hF203GFX3e0-DVgLVVADxohN3X0Ib_QVhIs-cYJsQzU),,Artist not yet identified for record,,,Tim Scofield,,,,,,,,,,,,,,,39.34029201524424,-76.60939559418284,12/27/2022 10:56pm
SECDC,"""Library Square"" Bus Shelter [east end]",2018,E. Fayette Street and N. Linwood Avenue,Intersection,,"Sculpture,Structure",in place,,Southeast CDC,,,,Neighborhood Design Center,,,,,,Library Square Park,,Library Square Park,Outdoor,steel,,,,,,,"Tim Scofield,Kyle Miller",,,,,,,,,,,,,,,39.29472714346164,-76.5766361117509,12/27/2022 11:03pm
SECDC,"""Library Square"" Bus Shelter [west end]",2018,E. Fayette Street and N. Lakewood Avenue,Intersection,,"Sculpture,Structure",in place,,Southeast CDC,,,,Neighborhood Design Center,,,,,,Library Square Park,,Library Square Park,Outdoor,steel,,,,,,,"Tim Scofield,Kyle Miller",,,,,,,,,,,,,,,39.294623549531224,-76.57906436007246,12/27/2022 11:03pm
,"[""Mr. Ed the Cat"" mural]",2018,301 Wyman Park Drive,,Gaia,Mural,in place,Private Property,Greater Remington Improvement Association,,,,,,,Baltimore,MD,,,,,Outdoor,painted mural,,,,,,Male,,,,PNC Transformative Art Grant (BOPA),,,,District 14,Remington,Medfield/Hampden/Woodberry/Remington,,,,,,39.32548198338052,-76.62493093505881,12/8/2022 12:06pm
,[Madonna mural],2018,400 W. 23rd Street,,Gaia,Mural,in place,Private Property,Greater Remington Improvement Association,,PNC Transformative Art Grant (BOPA),,,6/22/2018,,,,,,,,Outdoor,painted mural,,,,,,Male,,,,PNC Transformative Art Grant (BOPA),,,,District 12,Remington,Medfield/Hampden/Woodberry/Remington,,,,,,39.31533984307147,-76.62209749941131,12/8/2022 12:06pm
,[Open Walls X mural],2018,424 Pitman Place,,Cosmic Boys,Mural,in place,,,,Open Walls Baltimore 2,,,,,Baltimore,MD,,,,,Outdoor,painted mural,,,,,,,,,,,,,,District 12,Greenmount West,Midtown,,,,,,39.30857599298528,-76.60998931291721,12/8/2022 11:54am
,[REMINGTON murals],2018,2701 Sisson Street,,"Greg Gannon,Carol P. Jarvis",Mural,in place,,Greater Remington Improvement Association,,,,,,,,,,,,,Outdoor,painted mural,,,,Two part mural on fence and shipping container; location based on shipping container,,"Male, Female",,,,BOPA Community Arts Grant,,,,District 12,Remington,Medfield/Hampden/Woodberry/Remington,,,,,,39.319141162822504,-76.62442815276817,12/8/2022 12:00pm
,[Three women in Remington mural],2018,2601 Hampden Avenue,,Gaia,Mural,in place,Private Property,Greater Remington Improvement Association,,,,,,,Baltimore,MD,,,,,Outdoor,painted mural,,,,One of three works in Transformative Art Prize project,,Male,,,,PNC Transformative Art Grant (BOPA),,,,District 12,Remington,Medfield/Hampden/Woodberry/Remington,,,,,,39.318375721118734,-76.62233786456633,12/8/2022 12:06pm
,Black-Eyed Susan,2018,2921 E. Madison Street,,Nether,Mural,in place,Private Property,,,,Arts + Parks,,,,Baltimore,MD,,,,,Outdoor,painted mural,,,,Completed c. Winter 2017 – Summer 2018,,Male,,,,Coca-Cola Bottling Company Consolidated,,,,District 13,Madison-Eastend,Madison/East End,,,,,,39.299999470598486,-76.57593877295417,12/27/2022 10:06pm
,Bocek Building Bocek,2018,801 N. Linwood Avenue,,Nether,Mural,in place,Private Property,,,,Arts + Parks,,,,Baltimore,MD,,,,,Outdoor,painted mural,,,,Completed c. Winter 2017 – Summer 2018,,Male,,,,Coca-Cola Bottling Company Consolidated,,,,District 13,Madison-Eastend,Madison/East End,,,,,,39.30024,-76.57648,12/8/2022 12:06pm
,Bon Secours Centennial Mural,2018,2000 W. Baltimore Street,,Whitney Frazier,Mural,in place,,,,,,,,,Baltimore,MD,,,,,Outdoor,painted mural,,,,286’ x 10’,,Female,,,,,,,,District 9,Penrose/Fayette Street Outreach,Southwest Baltimore,,,,,,39.2882109838597,-76.64830760004578,12/8/2022 12:06pm
,Cat,2018,301 Wyman Park Drive,,Dominic Terlizzi,Sculpture,in place,Private Property,,,,,,,,Baltimore,MD,,,,,Outdoor,steel,,,,,,Male,,,,,,,node/8949042312,District 14,Remington,Medfield/Hampden/Woodberry/Remington,,,,,,39.3256306,-76.6250546,12/8/2022 11:54am
,Collington Square School,2018,1409 N. Collington Avenue,,Nether,Mural,in place,Private Property,,,,Arts + Parks,,,,Baltimore,MD,,,,,Outdoor,painted mural,,,,,,Male,,,,"""Baltimore Neighborhoods, Inc. (BNI)"",Civic Works",,,,District 13,Broadway East,Clifton-Berea,,,,,,39.30736,-76.58643,12/8/2022 12:06pm
,Darley Park Mural,2018, 1617 Normal Avenue,,Whitney Frazier,Mural,in place,,,,,Crystal Micriotti,,,,Baltimore,MD,,,,,Outdoor,painted mural,,,,Completed early Nov. 2018 - https://ndc-md.org/journal/photo-story-darley-park-mural-installation,,Female,,,,"Baltimore Mural Program (BOPA),PNC Transformative Art Grant (BOPA)",,,,District 14,Darley Park,Clifton-Berea,,,,,,39.31582853200478,-76.59520534257712,12/8/2022 12:06pm
2018.01.PfA.GaMul,DPW Every Day,2018,2300 block of N. Fulton Avenue,Block,Gary Mullen,Mural,in place,Mayor & City Council,,Baltimore Office of Promotion and the Arts,,"Lashae Church,Katelyn Collier,Kashaun Drumgoogle,Amanda Holland,Samira Jackson,Dominique Jeffers,Morgan Lee,Raquel McCain,Cynthia Pual Abalum,Davual Smith,Sierra Walston,Justin Watford,Katrell Wilkinson,Darien Williams",,,,Baltimore,MD,,,Across the street from DPW Park Terminal,,Outdoor,painted mural,,"jstin2.jpg (https://v5.airtableusercontent.com/v1/13/13/1672228800000/O0_SwxLYJ-tBqRY2w7QdBA/fYlCM-zaa9GCi0O2TIVu0zDJtrNaiDGklcC1uq1trk6Jf3eb1p1sVhbEOjTF_J60cWA2SDxHnl92pchhwdMfsDvAOapdgtDNSYIpq9JlfyM/ORAYh-8q8NBPIdbmq0DBIPnytoqrIZKo-K0rRD3sBNI),edited.jpg (https://v5.airtableusercontent.com/v1/13/13/1672228800000/-7PP9LnI6ZGeFr2_q8Oc6A/G1fWhhzBFuLNbv5S07T0zxGY_OuJdPmhZWZd5EERS3CUlv4VOgv9jwudmFRnU37FlX0wIihNL6wpGbwZWIuvyhVZRRUlcuaIboHG4tpBmiQ/Uy6FAOyC_NSjQ5XN-QrnvWPcEeMS-mEfqA8l7Z96RxY),hil.jpg (https://v5.airtableusercontent.com/v1/13/13/1672228800000/Ym-XETuKJBbfvODZB5RX8g/0rIBQEEtpFhm7JZ7-4vjminyYp5hiOQdsRZRHT9utbtWAuIIqr2pHZcWKigGDS6yw4KkV6aCEN4kqm_59DUUsA/o_C9CGnejqJ7eXWHTGDwmm9_zD0Th5LoVVQOEzp74v4),IMG_20180731_105504405.jpg (https://v5.airtableusercontent.com/v1/13/13/1672228800000/gtAXJRl7spm8a6vWBKjA0Q/WsCyCHBTSGHChu6IMY9-dAkZfYXGb72crQirlbP23DYW6QQe0IPIJ-_DYvASxub5cEbRV9ES32scFlYN--pVX814CBSz7LU7ZW13t9KZlKBJuyT2IvG7kX3AqpII6m9E/OMJUvu_Frhbh8xNbebIjkZxfGQ3HTxgDOPQ7Ih68RIs),IMG_20180731_111637873_HDR.jpg (https://v5.airtableusercontent.com/v1/13/13/1672228800000/_i1ghLJWb5-klC19zfUtUQ/Q2WsoR_awk7CwZDZ12YGqjXCHjnTrvAp_TSTMb2ZkjpdGhG0adxYe01grRIq0qgiRZOWMDFt-HGUa4JURlCA7V6cmp1M0DnlHkVutNQyZBFx98m5R60tq0KK15yFTEkt/lRlLcA-0EibtKGQead_pcX2JKIwINYBcr7aAac4cyYo),IMG_20180731_100559275_HDR.jpg (https://v5.airtableusercontent.com/v1/13/13/1672228800000/ilvspmQQxUu5vwuEIn6Gqg/uiAmOZ8ZqXpcfXkd16l_HBOmetgpJAUJ5D4BQ_8Kf-3oV767d4dk9x38-jjvjb9aX_yhW23CFckiTgydkw10B0OjVB1blzoQIPdRxhL4obijGlv_c2gYpJKwKlobJB6f/XXVk35FBVN4Ql9dC_qymi4VgFpUvosK8vR1IVh-3RRo),IMG_8732.JPG (https://v5.airtableusercontent.com/v1/13/13/1672228800000/7UbTv-E-KT8aKhEMr2iGHg/w3DognAlrcJXWdjmKiynFOkQAVN-cPNGUbz2Az5TqXxYXX9vUQ_hQafahr7fJruOdQ1BDMWuifp6LWrFtvfScAI7Q9qXf3zqtQUNsA0OenE/StiotLYBr1FwQc7ZEO1TwzRJ-dmIQNQ3QaC55SRRtL0)",,,,Male,,,,,,,node/7835542035,District 7,Parkview/Woodbrook,Penn North/Reservoir Hill,,,,,,39.315563,-76.643945,12/8/2022 4:53pm
,Eclipse,2018,3021 E. Monument Street,,Nether,Mural,in place,Private Property,,,,Arts + Parks,,,,Baltimore,MD,,,,,Outdoor,painted mural,,,,Completed c. Winter 2017 – Summer 2018,,Male,,,,Coca-Cola Bottling Company Consolidated,,,,District 13,Ellwood Park/Monument,Madison/East End,,,,,,39.29899,-76.57437,12/8/2022 12:06pm
,Everyone is Welcome!,2018,2830 Oakley Avenue,,Iandry Randriamandroso,Mural,in place,,,,Art@Work,,,,,Baltimore,MD,,Callowhill Aquatic Center,,Callowhill Aquatic Center,Outdoor,painted mural,,,,,,Male,,,,Art@Work Program (BOPA),,,,District 6,Cylburn,Pimlico/Arlington/Hilltop,,,,,,39.34856584547941,-76.6676414455,12/8/2022 12:06pm
SECDC,Felco Tower Mural,2018,4001 E. Baltimore Street,,Mauricio Ramirez,Mural,in place,Private Property,,,,,,,,Baltimore,MD,,,,,Outdoor,painted mural,,,,,,Male,,,,Baltimore Regional Neighborhood Initiative (BRNI),,,,District 2,Baltimore Highlands,Highlandtown,,,,,,39.2924517,-76.5635886,12/8/2022 12:06pm
,Finding Home,2018,745 N. Kenwood Avenue,,Nether,Mural,in place,Private Property,,,,Arts + Parks,,,,Baltimore,MD,,,,,Outdoor,painted mural,,,,Completed c. Winter 2017 – Summer 2018,,Male,,,,Coca-Cola Bottling Company Consolidated,,,,District 13,Madison-Eastend,Madison/East End,,,,,,39.29997,-76.57787,12/8/2022 12:06pm
,In the Garden,2018,101 Key Highway,,Sam Christian Holmes,Sculpture,in place,Mayor & City Council,,,PNC Transformative Art Grant (BOPA),,,,,Baltimore,MD,,Robert Baker Park,,Robert Baker Park,Outdoor,steel,,,,See https://www.baltimorearts.org/a-conversation-with-sam-christian-holmes/,,Male,,,,PNC Transformative Art Grant (BOPA),,,node/10290557018,,,,,,,,,39.280488183839665,-76.61254682786547,12/27/2022 5:57pm
,Maxinew Lynch Tribute,2018,2922 E. Monument Street,,Nether,Mural,in place,Private Property,,,,Arts + Parks,,,,Baltimore,MD,,,,,Outdoor,painted mural,,,,Completed c. Winter 2017 – Summer 2018,,Male,,,,Coca-Cola Bottling Company Consolidated,,,,District 13,Madison-Eastend,Madison/East End,,,,,,39.29925,-76.57586,12/8/2022 12:06pm
,Ode to Park Heights,2018,5322 Cuthbert Avenue,,LaToya D. Peoples,Mural,in place,,,,Art@Work,,,,,Baltimore,MD,,,,,Outdoor,painted mural,,,,,,Female,,,,,,,,District 5,Arlington,Pimlico/Arlington/Hilltop,,,,,,39.34799432176242,-76.68295353725593,12/8/2022 12:06pm
,One Way Up,2018,800 N. Linwood Avenue,,Nether,Mural,in place,Private Property,,,,Arts + Parks,,,,Baltimore,MD,,,,,Outdoor,painted mural,,,,Completed c. Winter 2017 – Summer 2018,,Male,,,,Coca-Cola Bottling Company Consolidated,,,,District 13,Madison-Eastend,Madison/East End,,,,,,39.30022,-76.57695,12/8/2022 12:06pm
,Reaching New Heights,2018,4800 block of Pimlico Road,Block,S. Rasheem,Mural,in place,,,,Art@Work,,,,,Baltimore,MD,,,,,Outdoor,painted mural,,,,,,,,,,Art@Work Program (BOPA),,,,,,,,,,,,,,12/8/2022 12:06pm
,Rocky Brown Tribute,2018,2929 E. Madison Street,,Nether,Mural,in place,Private Property,,,,Arts + Parks,,,,Baltimore,MD,,,,,Outdoor,painted mural,,,,Completed c. Winter 2017 – Summer 2018,,Male,,,,Coca-Cola Bottling Company Consolidated,,,,District 13,Madison-Eastend,Madison/East End,,,,,,39.29999,-76.57572,12/8/2022 12:06pm
,Rose Street Community Garden,2018, 2509 E. Monument Street,,Nether,"Mural,Landscape",in place,Private Property,,,,Arts + Parks,,,,Baltimore,MD,,,,,Outdoor,painted mural,,,,Mural located on side of Save-A-Lot grocety store across Rose St. from the garden,,Male,,,,"Baltimore Office of Promotion and the Arts (BOPA),Parks & People Foundation",,,,District 13,McElderry Park,Madison/East End,,,,,,39.29851410362151,-76.58164774199962,12/8/2022 12:06pm
,Seeds,2018,3000-3100 block of Woodland Avenue,Block,"""Ernest Shaw, Jr.""",Mural,removed – unconfirmed,,,,Art@Work,,,,,Baltimore,MD,,,,,Outdoor,painted mural,,,,Possibly a temporary work removed when vacant rowhouses on these blocks were demolished,,Male,,,,Art@Work Program (BOPA),,,,,,,,,,,,,,12/27/2022 8:27pm
,Stochastic Interactions,2018,670 W. Baltimore Street,,Eric Peltzer,"Sculpture,Kinetic sculpture",in place,State of Maryland,,,,,,10/16/2018,,Baltimore,MD,21201,"University of Maryland Baltimore, Health Sciences Research Facility III",,,Outdoor,stainless steel,,,,,,,,,,Art@Work Program (BOPA),,,node/9234197714,District 11,University Of Maryland,Downtown/Seton Hill,,,,,,39.289239542879635,-76.62656651084137,12/8/2022 11:54am
,Tulip,2018,2922 E. Monument Street,,Nether,Mural,in place,Private Property,,,,Arts + Parks,,,,Baltimore,MD,,,,,Outdoor,painted mural,,,,Completed c. Winter 2017 – Summer 2018,,Male,,,,Coca-Cola Bottling Company Consolidated,,,,District 13,Madison-Eastend,Madison/East End,,,,,,39.29925,-76.57586,12/8/2022 12:06pm
,Waverly W,2018,401 Merryman Lane,,Post Typography,Sculpture,in place,,,,,,,,,Baltimore,MD,,Waverly Farmer's Market,,,Outdoor,painted steel,,,,Need to confirm year,,,,,,,,Approximate,node/4791979538,District 14,Abell,Greater Charles Village/Barclay,,,,,,39.328042357386906,-76.61090292428685,12/8/2022 11:54am
,"[""Aaron LaCrate: Just a Kid from Highlandtown"" Exhibition Mural]",2017,3137 Eastern Avenue,,Aaron LaCrate,Mural,demolished,,,,Creative Alliance,,,,,Baltimore,MD,21224,,,,Outdoor,painted mural,demolished for new building (always intended as temporary work),,,,,Male,,,,,,,node/7835520567,District 1,Canton,Patterson Park North & East,,,,,,39.2862184,-76.5717015,12/8/2022 12:06pm
,[Cloverdale Park Mural],2017,Druid Hill Avenue and Druid Lake Drive,Intersection,"""Ernest Shaw, Jr.""",Mural,in place,Mayor & City Council,,,,Dalvin Wade Byron,,,,Baltimore,MD,,Harrison Sykes Brown Playground,,,Outdoor,painted mural,,,,"From BOPA's website: For the past 60 years, Cloverdale Recreation Center has served as a staple of support in West Baltimore for ages 7-75. Ernest’s team wishes to create a mural that expresses the joy that the game of basketball can bring to a community.",,Male,,,,Art@Work Program (BOPA),,,,District 7,Penn North,Penn North/Reservoir Hill,,,,,,39.31494936480186,-76.6424293007975,12/8/2022 5:11pm
,[Metal sculpture with silhouettes],2017,2601 Tolley Street,,Nicole Fall,Sculpture,in place,Mayor & City Council,Baltimore City Public Schools,"City of Baltimore - BOPA,Baltimore City Public Schools",,Access Art,,,,Baltimore,MD,,Morrell Park ES,,Morrell Park ES,Outdoor,painted metal,,tim-scofield_bded09_338214b5152d4e558fc65d8b85a58e9e_mv2.webp (https://v5.airtableusercontent.com/v1/13/13/1672228800000/jrwabQPtaqO_FhBaqWyTwg/v_s1Tu8aDxRmW5qLUsiSkr6vts_NXD8OxN2H-nB5NDDd5uQcWBtg-4dqItm8deB-QokGvpmKqegmhoEcN8gGVbcfTItoiS1QrBQk014zuc6fmX6G2OA7pg2ihtrBnqO9KPuoeN3adSIWL-nceZ3cpQ/_uOXHzzK5uvq0UncB3oxMuwRNQohX4P2odGWRMNqOZ4),,Not determined if Access Art/Tim Scofield worked on benches only or benches and sculpture,,Female,Tim Scofield,,,,,,,District 10,Morrell Park,Morrell Park/Violetville,,,,,,39.26323912711355,-76.65133611488787,12/27/2022 10:50pm
,[Untitled],2017,3800 Mannasota Avenue,,Paige Orpin,Mural,in place,Mayor & City Council,,,,,,,,Baltimore,MD,21213,Mannasota Bridge (between Shannon Drive and Parkside Drive),,Herring Run Park,Outdoor,painted mural,,,,"Commissioned by Belair-Edison Neighborhoods, Inc. (BENI)",,Female,,,,NeighborWorks,,,,District 2,Lower Herring Run Park,Cedonia/Frankford,,,,,,39.324686267543804,-76.56261211084667,12/8/2022 12:06pm
,[Waverly Crab House Mural],2017,3400 Greenmount Ave,,Mike Thomas,Mural,in place,,,,,"Jimmy Li,Najee Haynes-Follins",,,,Baltimore,MD,,Waverly Crab House,,,Outdoor,painted mural,,Sam_Selby_519.jpeg (https://v5.airtableusercontent.com/v1/13/13/1672228800000/4niTnmV3XvGfj0tM48dktQ/jZRuXAVO7I57ZtHg_ZSCBObwk6jTBgiHbTfunoLnw0FoMbQjgNV_Me3xYAP5QXualP-fczuH4tLKMVlRnKEZf7vXUXuc756XdwX8w846t0A/jUaE2tGHczwrumvzwHQPoBe7rABLRAOyQAZ6R33R340),,"From BOPA's website: This mural is designed to support an important and thriving business in Waverly, the mural features colorful, eye-catching images of crabs, fish and shrimp, all sold at the Waverly Crab House.",,Male,,,,Art@Work Program (BOPA),,,,District 14,Oakenshawe,Greater Charles Village/Barclay,,,,,,39.33001,-76.60972,12/27/2022 11:00pm
,Break Through,2017,2411 Linden Ave,,Julie Horton,Mural,in place,,,,,Jache Haynie,,,,Baltimore,MD,,German Park,,German Park,Outdoor,painted mural,,,,"From BOPA's website: The Break Through mural is inspired by the sentiments of many Reservoir Hill neighbors. It depicts symbols of youth, potential, inspiration, hope, love, and growth. At certain points of the mural, the design shows a crack and breaks open - only to reveal more beauty beyond the layer. Like a tree that grows from a vacant building, the greenery that surrounds our mural is an ode to the ideas of good, life, and new growth. Nature, like love, always finds a way.",,Female,,,,Art@Work Program (BOPA),,,,District 7,Reservoir Hill,Penn North/Reservoir Hill,,,,,,39.31438,-76.63573,12/8/2022 12:06pm
